data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
09/02/2019,14:00,7172,3260,9551,1802,3259,6163,1479,0278,9340,6848
08/02/2019,19:00,7198,2802,0867,8163,6292,5816,0222,6541,2310,0947
08/02/2019,14:00,8296,2346,1029,6129,5944,9632,9724,4141,9007,4876
07/02/2019,19:00,3435,9137,0145,7716,7549,5482,3776,1597,5742,8598
07/02/2019,14:00,7940,7234,2632,0453,2643,3366,5457,7217,2619,1951
06/02/2019,19:00,7082,2854,2161,4424,6640,7400,5008,1662,2893,0184
29/12/2018,19:00,1270,0248,5748,7644,2725,5755,4914,6508,9303,3750
12/01/2019,19:00,5094,6064,7420,1785,0242,8684,6342,3974,0581,6748
14/01/2019,19:00,5618,3281,6869,9236,1487,4310,5580,6931,4707,9006
14/01/2019,14:00,5891,1475,5909,3034,6645,4993,8960,6271,3077,5159
15/01/2019,19:00,1336,9326,9308,0801,3400,7164,9199,2620,6810,9309
15/01/2019,14:00,9038,0694,0605,7507,1732,7858,0320,2520,7658,2632
16/01/2019,14:00,9645,0374,4407,6420,2839,7594,0143,8072,7578,0862
18/01/2019,14:00,8965,1737,9940,4473,8394,8363,5849,6941,3064,3211
19/01/2019,19:00,7994,9431,6536,9143,9393,0006,8644,4305,1666,2184
21/01/2019,19:00,5341,1059,6398,6427,3867,1096,6244,0936,1362,9386
21/01/2019,14:00,4468,1426,0588,9867,4361,9692,8420,2928,5485,0576
22/01/2019,14:00,1907,3530,7204,5998,0196,6023,8017,7129,9841,0239
06/02/2019,14:00,3134,8304,6903,7926,7596,4932,3739,7153,8780,3084
17/01/2019,19:00,1151,6654,9923,0956,1976,7151,1366,3822,4637,4319
17/01/2019,14:00,1241,7531,3661,1933,4659,9767,5764,0072,6115,8869
05/02/2019,19:00,5753,1711,0922,2922,4639,3890,0535,0066,4008,2829
28/01/2019,19:00,3873,2514,8277,4202,3566,3650,0006,1022,8888,8030
28/01/2019,14:00,6592,0899,4093,1444,4453,2170,6595,0858,6033,7138
